; Composite MgII index V4  weber@uni-bremen.de 20140319
;
;  1       N7/N9/N11 (Viereck 1999)   3888
;  2                        N7/SBUV     50
;  3                       N9/SBUV2      9
;  4                      N11/SBUV2     17
;  5                      N16/SBUV2    183
;  6                      N17/SBUV2      3
;  7                      N18/SBUV2      6
;  8      U/SOLSTICE (de Toma 1997)      0
;  9           U/SOLSTICE (classic)   1370
; 10                          SUSIM    110
; 11                           GOME   2451
; 12                      SCIAMACHY   1325
; 13                     S/SOLSTICE     30
; 14                            OMI      2
; 15              GOME-2A (classic)   2539
; 16              GOME-2B (classic)      2
; 17                          F10.7    931
; 18                   cubic spline      0
;
  1978.85068 11 07  0.1640   1
  1978.85342 11 08  0.1638   1
  1978.85616 11 09  0.1637   1
  1978.85890 11 10  0.1633   1
  1978.86164 11 11  0.1625  17
  1978.86438 11 12  0.1627   1
  1978.86712 11 13  0.1616   1
  1978.86986 11 14  0.1605   1
  1978.87260 11 15  0.1591  17
  1978.87534 11 16  0.1586  17
  1978.87808 11 17  0.1583  17
  1978.88082 11 18  0.1582  17
  1978.88356 11 19  0.1597   1
  1978.88630 11 20  0.1591   1
  1978.88904 11 21  0.1580  17
  1978.89178 11 22  0.1587   1
  1978.89452 11 23  0.1587   1
  1978.89726 11 24  0.1594   1
  1978.90000 11 25  0.1601   1
  1978.90274 11 26  0.1611   1
  1978.90548 11 27  0.1623   1
  1978.90822 11 28  0.1624   1
  1978.91096 11 29  0.1624  17
  1978.91370 11 30  0.1631  17
  1978.91644 12 01  0.1651   1
  1978.91918 12 02  0.1658   1
  1978.92192 12 03  0.1639  17
  1978.92466 12 04  0.1650   1
  1978.92740 12 05  0.1657   1
  1978.93014 12 06  0.1649   1
  1978.93288 12 07  0.1652   1
  1978.93562 12 08  0.1644   1
  1978.93836 12 09  0.1642   1
  1978.94110 12 10  0.1688  17
  1978.94384 12 11  0.1694  17
  1978.94658 12 12  0.1644   1
  1978.94932 12 13  0.1643   1
  1978.95205 12 14  0.1637   1
  1978.95479 12 15  0.1675  17
  1978.95753 12 16  0.1629   1
  1978.96027 12 17  0.1589   1
  1978.96301 12 18  0.1611   1
  1978.96575 12 19  0.1601   1
  1978.96849 12 20  0.1599   1
  1978.97123 12 21  0.1564   1
  1978.97397 12 22  0.1579   1
  1978.97671 12 23  0.1595  17
  1978.97945 12 24  0.1590   1
  1978.98219 12 25  0.1608   1
  1978.98493 12 26  0.1618   1
  1978.98767 12 27  0.1621  17
  1978.99041 12 28  0.1644   1
  1978.99315 12 29  0.1657   1
  1978.99589 12 30  0.1663   1
  1978.99863 12 31  0.1669  17
  1979.00137 01 01  0.1677   1
  1979.00411 01 02  0.1681   1
  1979.00685 01 03  0.1691   1
  1979.00959 01 04  0.1683  17
  1979.01233 01 05  0.1686   1
  1979.01507 01 06  0.1671   1
  1979.01781 01 07  0.1682   1
  1979.02055 01 08  0.1676  17
  1979.02329 01 09  0.1679   1
  1979.02603 01 10  0.1669   1
  1979.02877 01 11  0.1671  17
  1979.03151 01 12  0.1669   1
  1979.03425 01 13  0.1671   1
  1979.03699 01 14  0.1663   1
  1979.03973 01 15  0.1656   1
  1979.04247 01 16  0.1672  17
  1979.04521 01 17  0.1672  17
  1979.04795 01 18  0.1635   1
  1979.05068 01 19  0.1633   1
  1979.05342 01 20  0.1690  17
  1979.05616 01 21  0.1655   1
  1979.05890 01 22  0.1705  17
  1979.06164 01 23  0.1680   1
  1979.06438 01 24  0.1690   1
  1979.06712 01 25  0.1692   1
  1979.06986 01 26  0.1699  17
  1979.07260 01 27  0.1678   1
  1979.07534 01 28  0.1670   1
  1979.07808 01 29  0.1665   1
  1979.08082 01 30  0.1670   1
  1979.08356 01 31  0.1666   1
  1979.08630 02 01  0.1678  17
